Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2020-09-01,53783,-4229,N/A,-7.3%,N/A,1772,-50,N/A,-2.7%,N/A,39374,-2587,73.2%,12637,3.3%,4.3%,173.8,5274.4,2925.2%
2020-08-31,58012,244,327.42857142857,0.42%,0.58%,1822,3,3,0.16%,0.17%,41961,76,72.33%,14229,3.14%,4.16%,178.68,5689.12,3293.8%
2020-08-30,57768,320,310.14285714286,0.56%,0.55%,1819,1,3.2857142857143,0.06%,0.18%,41885,119,72.51%,14064,3.15%,4.16%,178.39,5665.2,3255.6%
2020-08-29,57448,374,285.14285714286,0.66%,0.51%,1818,3,3.4285714285714,0.17%,0.19%,41766,210,72.7%,13864,3.16%,4.17%,178.29,5633.81,3209.3%
2020-08-28,57074,401,266.14285714286,0.71%,0.48%,1815,6,3.2857142857143,0.33%,0.18%,41556,199,72.81%,13703,3.18%,4.18%,177.99,5597.14,3172%
2020-08-27,56673,399,240.14285714286,0.71%,0.43%,1809,2,3,0.11%,0.17%,41357,173,72.97%,13507,3.19%,4.19%,177.41,5557.81,3126.6%
2020-08-26,56274,362,224.71428571429,0.65%,0.41%,1807,2,3,0.11%,0.17%,41184,163,73.18%,13283,3.21%,4.2%,177.21,5518.68,3074.8%
2020-08-25,55912,192,209.14285714286,0.34%,0.38%,1805,4,3,0.22%,0.17%,41021,141,73.37%,13086,3.23%,4.21%,177.01,5483.18,3029.2%
2020-08-24,55720,123,212.28571428571,0.22%,0.39%,1801,5,3.1428571428571,0.28%,0.17%,40880,106,73.37%,13039,3.23%,4.22%,176.62,5464.35,3018.3%
2020-08-23,55597,145,213.57142857143,0.26%,0.39%,1796,2,2.5714285714286,0.11%,0.14%,40774,122,73.34%,13027,3.23%,4.22%,176.13,5452.29,3015.5%
2020-08-22,55452,241,210.14285714286,0.44%,0.38%,1794,2,2.7142857142857,0.11%,0.15%,40652,179,73.31%,13006,3.24%,4.23%,175.93,5438.07,3010.6%
2020-08-21,55211,219,204,0.4%,0.37%,1792,4,2.8571428571429,0.22%,0.16%,40473,209,73.31%,12946,3.25%,4.24%,175.74,5414.44,2996.8%
2020-08-20,54992,291,206.28571428571,0.53%,0.38%,1788,2,2.5714285714286,0.11%,0.14%,40264,135,73.22%,12940,3.25%,4.25%,175.35,5392.96,2995.4%
2020-08-19,54701,253,211.14285714286,0.46%,0.39%,1786,2,3.1428571428571,0.11%,0.18%,40129,193,73.36%,12786,3.27%,4.26%,175.15,5364.42,2959.7%
2020-08-18,54448,214,214.71428571429,0.39%,0.4%,1784,5,3.2857142857143,0.28%,0.19%,39936,136,73.35%,12728,3.28%,4.28%,174.95,5339.61,2946.3%
2020-08-17,54234,132,201.28571428571,0.24%,0.38%,1779,1,2.8571428571429,0.06%,0.16%,39800,103,73.39%,12655,3.28%,4.28%,174.46,5318.62,2929.4%
2020-08-16,54102,121,204.85714285714,0.22%,0.39%,1778,3,3.1428571428571,0.17%,0.18%,39697,112,73.37%,12627,3.29%,4.29%,174.37,5305.68,2922.9%
2020-08-15,53981,198,206.28571428571,0.37%,0.39%,1775,3,3.5714285714286,0.17%,0.2%,39585,211,73.33%,12621,3.29%,4.29%,174.07,5293.81,2921.5%
2020-08-14,53783,235,204.57142857143,0.44%,0.39%,1772,2,3.7142857142857,0.11%,0.21%,39374,197,73.21%,12637,3.29%,4.31%,173.78,5274.39,2925.2%
2020-08-13,53548,325,212.42857142857,0.61%,0.41%,1770,6,3.8571428571429,0.34%,0.22%,39177,237,73.16%,12601,3.31%,4.32%,173.58,5251.35,2916.9%
2020-08-12,53223,278,196.42857142857,0.53%,0.38%,1764,3,3.4285714285714,0.17%,0.19%,38940,180,73.16%,12519,3.31%,4.33%,172.99,5219.48,2897.9%
